,access,address.city,address.countryCode,address.countryName,address.county,address.district,address.houseNumber,address.label,address.postalCode,address.state,address.stateCode,address.street,address.subdistrict,categories,contacts,distance,foodTypes,id,ontologyId,openingHours,position.lat,position.lng,references,resultType,title
0,"[{'lat': 19.12545, 'lng': 72.91935}]",Mumbai,IND,India,Mumbai Suburban,Powai,,"Dharamraj, Hare Krishna Road, Powai, Mumbai 400076, India",400076,Maharashtra,MH,Hare Krishna Road,,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",,1086,,here:pds:place:356te7ug-aab7da0959a549568e2d5367360ac2f8,here:cm:ontology:apartment_rental_flat_rental,,19.12548,72.91935,,place,Dharamraj
1,"[{'lat': 19.12339, 'lng': 72.91274}]",Mumbai,IND,India,Mumbai Suburban,Powai,,"Pajasa Apartments, Central Avenue, Hiranandani, Powai, Mumbai 400076, India",400076,Maharashtra,MH,Central Avenue,Hiranandani,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","[{'phone': [{'value': '+912269999891'}], 'www': [{'value': 'https://www.pajasaapartments.co.in'}]}]",1115,,here:pds:place:356te7ug-2d6f7d8713484a3c822ff16d259a3672,here:cm:ontology:apartment_rental_flat_rental,,19.12339,72.91274,,place,Pajasa Apartments
2,"[{'lat': 19.11933, 'lng': 72.91227}]",Mumbai,IND,India,Mumbai Suburban,Powai,,"Scorpio House, Central Avenue, Hiranandani, Powai, Mumbai 400076, India",400076,Maharashtra,MH,Central Avenue,Hiranandani,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",,1568,,here:pds:place:356te7ug-3fc1a164b55c7471dfef61d914495aa7,here:cm:ontology:apartment_rental_flat_rental,,19.11933,72.91227,,place,Scorpio House
3,"[{'lat': 19.111, 'lng': 72.89867}]",Mumbai,IND,India,Mumbai Suburban,Powai,36-2,"Oritel Service Apartments, 36-2, Chandivali, Powai, Mumbai 400072, India",400072,Maharashtra,MH,,Chandivali,"[{'id': '500-5000-0000', 'name': 'Hotel/Motel', 'primary': True}, {'id': '500-5000-0053', 'name': 'Hotel'}, {'id': '500-5100-0000', 'name': 'Lodging'}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'phone': [{'value': '+912228475656'}, {'value': '+917208080719', 'categories': [{'id': '500-5100-0000'}]}, {'value': '+919820977731', 'categories': [{'id': '500-5000-0000'}]}], 'mobile': [{'value': '+917208080719', 'categories': [{'id': '500-5100-0000'}]}], 'www': [{'value': 'http://www.oritel.biz', 'categories': [{'id': '500-5000-0000'}, {'id': '500-5000-0053'}, {'id': '700-7200-0324'}]}, {'value': 'https://www.business.site', 'categories': [{'id': '500-5100-0000'}]}]}]",2920,,here:pds:place:356te7ud-fff70785b3144b2eb60a36923532bd01,here:cm:ontology:apartment_rental_flat_rental,"[{'categories': [{'id': '500-5000-0000'}], 'text': ['Mon-Sun: 00:00 - 24:00'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT24H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",19.11098,72.89882,"[{'supplier': {'id': 'tripadvisor'}, 'id': '1135613'}]",place,Oritel Service Apartments
4,"[{'lat': 19.12066, 'lng': 72.88535}]",Mumbai,IND,India,Mumbai Suburban,Andheri East,,"Silverline Apartment, Marol, Andheri East, Mumbai 400059, India",400059,Maharashtra,MH,,Marol,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]",,3245,,here:pds:place:356te7uf-0a7baeff179d49fd860e8d3902946ac3,here:cm:ontology:apartment_rental_flat_rental,,19.12057,72.88556,,place,Silverline Apartment
5,"[{'lat': 19.11746, 'lng': 72.88374}]",Mumbai,IND,India,Mumbai Suburban,Andheri East,,"Andheri East Service Apartments, Marol, Andheri East, Mumbai 400059, India",400059,Maharashtra,MH,,Marol,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","[{'phone': [{'value': '+919820049408'}], 'www': [{'value': 'http://www.servicedapartmentsmumbai.com/?s&search=1&post_type=estate&location=marol-andheri-east&term'}]}]",3576,,here:pds:place:356te7uf-0d5db6077151dcd23696918063140033,here:cm:ontology:apartment_rental_flat_rental,,19.11746,72.88374,,place,Andheri East Service Apartments
6,"[{'lat': 19.16289, 'lng': 72.93285}]",Mumbai,IND,India,Mumbai Suburban,Bhandup West,,"Aghadi Nagar Chs, Bhandup West, Mumbai 400078, India",400078,Maharashtra,MH,,,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",[{'mobile': [{'value': '+919324060902'}]}],3856,,here:pds:place:356te7v5-ea19989e14a440f9b8386569ef29849e,here:cm:ontology:apartment_rental_flat_rental,,19.16275,72.93285,,place,Aghadi Nagar Chs
7,"[{'lat': 19.11749, 'lng': 72.88007}]",Mumbai,IND,India,Mumbai Suburban,Andheri East,703,"Eden Guest House, 703 Marol Maroshi Road, Marol, Andheri East, Mumbai 400059, India",400059,Maharashtra,MH,Marol Maroshi Road,Marol,"[{'id': '500-5100-0057', 'name': 'Guest House', 'primary': True}, {'id': '500-5000-0000', 'name': 'Hotel/Motel'}, {'id': '500-5000-0053', 'name': 'Hotel'}, {'id': '500-5100-0059', 'name': 'Holiday Park'}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'phone': [{'value': '+912229201900'}, {'value': '+912238550971', 'categories': [{'id': '500-5000-0000'}, {'id': '500-5100-0059'}]}, {'value': '+918004916126', 'categories': [{'id': '500-5000-0000'}]}, {'value': '+919820886610', 'categories': [{'id': '500-5000-0000'}]}], 'mobile': [{'value': '+919820886610', 'categories': [{'id': '500-5000-0053'}, {'id': '500-5100-0057'}]}], 'fax': [{'value': '""""', 'categories': [{'id': '500-5000-0000'}, {'id': '500-5100-0059'}]}], 'www': [{'value': 'http://edenguesthouse.co.in'}, {'value': 'http://www.hoteleden.co.in', 'categories': [{'id': '500-5000-0000'}]}], 'email': [{'value': 'abdulla@edenguesthouse.co.in', 'categories': [{'id': '500-5000-0000'}]}]}]",3897,,here:pds:place:356jx7ps-5ebe0762091400064d11e6140c9dfde8,here:cm:ontology:apartment_rental_flat_rental,,19.11748,72.88025,"[{'supplier': {'id': 'core'}, 'id': '1115429174'}, {'supplier': {'id': 'core'}, 'id': '1200967164'}, {'supplier': {'id': 'core'}, 'id': '1204946123'}]",place,Eden Guest House
8,"[{'lat': 19.09592, 'lng': 72.9137}]",Mumbai,IND,India,Mumbai Suburban,Ghatkopar West,,"IREL Officers Apartment, Damodar Park Road, Damodar Park, Ghatkopar West, Mumbai 400086, India",400086,Maharashtra,MH,Damodar Park Road,Damodar Park,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",[{'phone': [{'value': '+912224220843'}]}],4163,,here:pds:place:356te7ue-e65c876ed64c4bcd89ce874b75ef814b,here:cm:ontology:apartment_rental_flat_rental,,19.09596,72.91358,,place,IREL Officers Apartment
9,"[{'lat': 19.11483, 'lng': 72.87822}]",Mumbai,IND,India,Mumbai Suburban,Andheri East,,"Bombay Home-stay Vacation, buddha wadi Road, Marol, Andheri East, Mumbai 400059, India",400059,Maharashtra,MH,buddha wadi Road,Marol,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}, {'id': '700-7400-0133', 'name': 'Travel Agent/Ticketing'}, {'id': '700-7460-0115', 'name': 'Tourist Information'}]","[{'phone': [{'value': '+919320095636'}], 'www': [{'value': 'http://www.facebook.com/homestayvacation'}]}]",4224,,here:pds:place:356te7ud-c7538f0ad67149c896594d0fd4c36d26,here:cm:ontology:apartment_rental_flat_rental,,19.11483,72.87822,"[{'supplier': {'id': 'core'}, 'id': '1201146829'}, {'supplier': {'id': 'core'}, 'id': '1201150511'}]",place,Bombay Home-stay Vacation
