,title,address.label,distance,access,position.lat,position.lng,address.postalCode,contacts,id
0,Dharamraj,"Dharamraj, Hare Krishna Road, Powai, Mumbai 400076, India",1086,"[{'lat': 19.12545, 'lng': 72.91935}]",19.12548,72.91935,400076,,here:pds:place:356te7ug-aab7da0959a549568e2d5367360ac2f8
1,Pajasa Apartments,"Pajasa Apartments, Central Avenue, Hiranandani, Powai, Mumbai 400076, India",1115,"[{'lat': 19.12339, 'lng': 72.91274}]",19.12339,72.91274,400076,"[{'phone': [{'value': '+912269999891'}], 'www': [{'value': 'https://www.pajasaapartments.co.in'}]}]",here:pds:place:356te7ug-2d6f7d8713484a3c822ff16d259a3672
2,Scorpio House,"Scorpio House, Central Avenue, Hiranandani, Powai, Mumbai 400076, India",1568,"[{'lat': 19.11933, 'lng': 72.91227}]",19.11933,72.91227,400076,,here:pds:place:356te7ug-3fc1a164b55c7471dfef61d914495aa7
3,Oritel Service Apartments,"Oritel Service Apartments, 36-2, Chandivali, Powai, Mumbai 400072, India",2920,"[{'lat': 19.111, 'lng': 72.89867}]",19.11098,72.89882,400072,"[{'phone': [{'value': '+912228475656'}, {'value': '+917208080719', 'categories': [{'id': '500-5100-0000'}]}, {'value': '+919820977731', 'categories': [{'id': '500-5000-0000'}]}], 'mobile': [{'value': '+917208080719', 'categories': [{'id': '500-5100-0000'}]}], 'www': [{'value': 'http://www.oritel.biz', 'categories': [{'id': '500-5000-0000'}, {'id': '500-5000-0053'}, {'id': '700-7200-0324'}]}, {'value': 'https://www.business.site', 'categories': [{'id': '500-5100-0000'}]}]}]",here:pds:place:356te7ud-fff70785b3144b2eb60a36923532bd01
4,Silverline Apartment,"Silverline Apartment, Marol, Andheri East, Mumbai 400059, India",3245,"[{'lat': 19.12066, 'lng': 72.88535}]",19.12057,72.88556,400059,,here:pds:place:356te7uf-0a7baeff179d49fd860e8d3902946ac3
5,Andheri East Service Apartments,"Andheri East Service Apartments, Marol, Andheri East, Mumbai 400059, India",3576,"[{'lat': 19.11746, 'lng': 72.88374}]",19.11746,72.88374,400059,"[{'phone': [{'value': '+919820049408'}], 'www': [{'value': 'http://www.servicedapartmentsmumbai.com/?s&search=1&post_type=estate&location=marol-andheri-east&term'}]}]",here:pds:place:356te7uf-0d5db6077151dcd23696918063140033
6,Aghadi Nagar Chs,"Aghadi Nagar Chs, Bhandup West, Mumbai 400078, India",3856,"[{'lat': 19.16289, 'lng': 72.93285}]",19.16275,72.93285,400078,[{'mobile': [{'value': '+919324060902'}]}],here:pds:place:356te7v5-ea19989e14a440f9b8386569ef29849e
7,Eden Guest House,"Eden Guest House, 703 Marol Maroshi Road, Marol, Andheri East, Mumbai 400059, India",3897,"[{'lat': 19.11749, 'lng': 72.88007}]",19.11748,72.88025,400059,"[{'phone': [{'value': '+912229201900'}, {'value': '+912238550971', 'categories': [{'id': '500-5000-0000'}, {'id': '500-5100-0059'}]}, {'value': '+918004916126', 'categories': [{'id': '500-5000-0000'}]}, {'value': '+919820886610', 'categories': [{'id': '500-5000-0000'}]}], 'mobile': [{'value': '+919820886610', 'categories': [{'id': '500-5000-0053'}, {'id': '500-5100-0057'}]}], 'fax': [{'value': '""""', 'categories': [{'id': '500-5000-0000'}, {'id': '500-5100-0059'}]}], 'www': [{'value': 'http://edenguesthouse.co.in'}, {'value': 'http://www.hoteleden.co.in', 'categories': [{'id': '500-5000-0000'}]}], 'email': [{'value': 'abdulla@edenguesthouse.co.in', 'categories': [{'id': '500-5000-0000'}]}]}]",here:pds:place:356jx7ps-5ebe0762091400064d11e6140c9dfde8
8,IREL Officers Apartment,"IREL Officers Apartment, Damodar Park Road, Damodar Park, Ghatkopar West, Mumbai 400086, India",4163,"[{'lat': 19.09592, 'lng': 72.9137}]",19.09596,72.91358,400086,[{'phone': [{'value': '+912224220843'}]}],here:pds:place:356te7ue-e65c876ed64c4bcd89ce874b75ef814b
9,Bombay Home-stay Vacation,"Bombay Home-stay Vacation, buddha wadi Road, Marol, Andheri East, Mumbai 400059, India",4224,"[{'lat': 19.11483, 'lng': 72.87822}]",19.11483,72.87822,400059,"[{'phone': [{'value': '+919320095636'}], 'www': [{'value': 'http://www.facebook.com/homestayvacation'}]}]",here:pds:place:356te7ud-c7538f0ad67149c896594d0fd4c36d26
10,vic mon b wing,"vic mon b wing, Church Road, J B Nagar, Andheri East, Mumbai 400059, India",4689,"[{'lat': 19.11162, 'lng': 72.87512}]",19.11167,72.87505,400059,,here:pds:place:356te7ud-e1d26697d0d54f3eb62c7e6f73c431d1
