,cook,diet_current_coded,eating_out,sports,exercise,fav_cuisine_coded,on_off_campus,pay_meal_out,fav_food,fruit_day,income
0,2.0,1,3,1.0,1.0,3,1.0,2,1.0,5,5.0
1,3.0,2,2,1.0,1.0,1,1.0,4,1.0,4,4.0
2,1.0,3,2,1.0,2.0,1,4.0,1,3.0,5,6.0
3,2.0,2,2,2.0,3.0,3,1.0,2,1.0,4,6.0
4,1.0,2,2,1.0,1.0,1,1.0,4,3.0,4,6.0
5,3.0,2,1,2.0,2.0,6,1.0,5,3.0,2,1.0
6,2.0,3,2,1.0,1.0,4,2.0,2,1.0,4,4.0
7,3.0,1,2,2.0,2.0,5,1.0,5,1.0,5,5.0
9,3.0,1,3,1.0,1.0,1,1.0,3,1.0,5,4.0
10,1.0,1,2,1.0,1.0,4,3.0,2,1.0,5,3.0
11,3.0,1,1,1.0,1.0,1,1.0,3,1.0,5,5.0
12,5.0,1,1,1.0,3.0,4,1.0,2,3.0,4,5.0
13,2.0,2,4,1.0,2.0,1,2.0,3,1.0,5,5.0
14,3.0,1,2,1.0,2.0,4,2.0,3,3.0,5,5.0
15,4.0,2,4,1.0,1.0,1,1.0,3,2.0,3,4.0
16,3.0,1,1,2.0,2.0,7,1.0,2,1.0,5,1.0
17,3.0,3,2,1.0,1.0,5,1.0,6,3.0,3,6.0
18,3.0,1,3,2.0,3.0,5,1.0,2,3.0,5,5.0
20,5.0,2,4,1.0,1.0,2,1.0,2,3.0,2,6.0
21,3.0,2,1,1.0,1.0,8,1.0,5,2.0,3,6.0
22,5.0,1,1,1.0,1.0,1,1.0,5,1.0,4,6.0
23,4.0,1,2,1.0,3.0,4,1.0,3,1.0,3,4.0
25,3.0,1,2,1.0,1.0,0,1.0,3,3.0,4,6.0
26,3.0,1,2,1.0,1.0,1,1.0,4,1.0,3,5.0
27,4.0,1,2,1.0,1.0,2,1.0,6,1.0,5,6.0
28,2.0,2,2,2.0,2.0,1,1.0,3,1.0,3,5.0
29,3.0,2,5,2.0,2.0,8,1.0,4,1.0,5,5.0
30,3.0,1,3,1.0,2.0,2,3.0,3,2.0,3,5.0
31,2.0,2,2,2.0,2.0,1,4.0,3,1.0,5,4.0
33,4.0,2,2,2.0,3.0,1,1.0,3,1.0,3,3.0
34,4.0,2,3,1.0,1.0,1,1.0,4,3.0,5,6.0
35,1.0,3,2,1.0,1.0,5,2.0,3,1.0,5,4.0
36,3.0,2,4,1.0,1.0,1,1.0,3,3.0,5,6.0
37,2.0,2,2,1.0,3.0,1,1.0,4,1.0,3,6.0
38,3.0,1,2,1.0,2.0,1,1.0,3,1.0,4,5.0
39,5.0,2,5,1.0,1.0,2,2.0,3,1.0,5,6.0
40,3.0,3,2,1.0,1.0,1,1.0,3,1.0,3,6.0
41,2.0,4,4,2.0,1.0,1,1.0,3,1.0,5,3.0
44,1.0,1,2,1.0,1.0,4,2.0,6,1.0,5,5.0
46,3.0,2,2,1.0,2.0,1,1.0,3,1.0,4,4.0
47,4.0,2,2,1.0,1.0,1,1.0,3,3.0,5,6.0
48,4.0,2,2,1.0,1.0,4,1.0,3,1.0,5,5.0
49,3.0,2,2,2.0,2.0,1,1.0,6,1.0,3,3.0
50,5.0,1,2,2.0,1.0,5,3.0,3,2.0,4,1.0
51,3.0,4,3,1.0,1.0,0,1.0,3,1.0,5,6.0
52,1.0,3,5,1.0,1.0,2,1.0,3,1.0,5,5.0
54,1.0,1,3,1.0,1.0,1,1.0,6,1.0,5,6.0
55,3.0,2,5,1.0,1.0,1,1.0,2,1.0,4,3.0
56,3.0,1,4,1.0,1.0,4,2.0,4,1.0,5,6.0
57,2.0,1,3,1.0,1.0,5,1.0,3,3.0,4,5.0
58,1.0,3,2,1.0,2.0,2,2.0,4,1.0,5,5.0
60,2.0,1,5,1.0,1.0,2,1.0,3,1.0,5,6.0
61,2.0,1,2,2.0,2.0,2,3.0,2,2.0,3,4.0
62,3.0,1,5,1.0,1.0,1,1.0,3,1.0,4,6.0
63,3.0,1,4,1.0,1.0,1,1.0,3,1.0,5,5.0
64,1.0,1,3,1.0,1.0,4,1.0,2,3.0,5,2.0
65,2.0,2,3,2.0,2.0,1,1.0,5,3.0,3,6.0
67,4.0,2,3,1.0,2.0,1,1.0,4,1.0,5,5.0
68,3.0,1,1,1.0,1.0,1,1.0,4,1.0,5,6.0
69,2.0,2,2,2.0,2.0,1,2.0,3,1.0,3,6.0
